,Al,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,PhaseType,TestTempC,Strain Rate (s-1),Anneal Cooling Rate (degC/min),Arc Melting,HIP Time (h),Anneal Time (h),Anneal Temp (degC),Initial condition
12,0.17278482826608527,0.12414813557003254,0.1524044346735754,0.06681688792821429,0.002045989502238052,0.13108001024327667,0.15935415331187147,0.0007618707245769152,0.1906036897801292,BCC+MC,600.0,0.001,15.0,0,4,1.0,1000,MA/SPS
13,0.1390191121227948,0.04407286346478291,0.09373294042330306,0.30573807774991346,0.042311687914238796,0.16897758567413226,0.01526481285273033,0.10877018782799014,0.08211273197011425,BCC+Laves,1400.0,0.00056,4.2,1,2,20.0,800,Annealed
14,0.06375218089227579,0.14101379439630085,0.09562846682983711,0.05539971662962409,0.16937485630900556,0.09133607026727694,0.059582871245878945,0.1626024716622916,0.16130957176750899,2 BCC+laves,300.0,0.005,15.0,0,1,0.0,1450,MA/SPS
15,0.09905881430430735,0.1897263339450405,0.07380302188403091,0.23708029355431212,0.09606442035987471,0.002586745140562912,0.16192236074343722,0.0011712049219500449,0.13858680514648425,2 BCC+laves,1600.0,0.000167,20.0,1,4,96.0,900,Annealed
16,0.15250337281054668,0.043094591847571286,0.04671761636049282,0.026982086441971864,0.24051869807569487,0.04983869905916497,0.16874577135984833,0.21447679139741788,0.05712237264729125,BCC+unknown,25.0,1e-05,4.2,1,0,0.5,900,Annealed  
17,0.1819000272116235,0.18528382537927454,0.09435408292223028,0.05493077666870613,0.1671622278163518,0.05939206509951217,0.10357547080666413,0.03206589187267015,0.12133563222296737,B2,600.0,0.0005,100.0,0,1,6.0,500,MA/SPS
18,0.15990458861136472,0.13294273636884874,0.09198989091583967,0.14269003450342427,0.13079290825543108,0.057027418099959294,0.09939353038337224,0.06431192559171785,0.1209469672700422,2 BCC+Laves,100.0,0.1,10.0,0,0,192.0,700,MA/SPS
19,0.09209714227207741,0.18162595441185536,0.06421977483828557,0.19355122978087974,0.010750417857133389,0.12092213346744277,0.024004221398050574,0.15240576341849948,0.16042336255577572,2 BCC+laves,1400.0,0.0002,4.2,0,2,96.0,1400,MA/SPS
20,0.15321430843016337,0.009726600210288304,0.04910361728405219,0.09275122055309258,0.2782917124886408,0.006052857804721664,0.01655375070415111,0.16969375642904233,0.2246121760958476,BCC+M5Si3,-196.0,0.00015,10.0,1,1,10.0,25,As-cast
21,0.04202779789272001,0.14989635031150833,0.12218276816593351,0.0997542863135712,0.08348226868657913,0.20081508667770218,0.13169615627897635,0.11284976802438428,0.057295517648624845,BCC+laves+M5Si3,400.0,0.1,20.0,0,3,19.0,1100,Annealed  
22,0.15966228171557842,0.13726863763985597,0.037412107597269276,0.13882614621166695,0.029003343740248284,0.15582088121798482,0.18111305759621155,0.045736582866691564,0.11515696141449322,B2+Al3Zr5,1000.0,0.0001,20.0,1,0,24.0,1000,As-cast
23,0.17613230658067847,0.1655842705495688,0.023664762686726074,0.23669595653013115,0.15481509624313405,0.0713564759047602,0.015857522832439824,0.11960111585000865,0.03629249282255259,BCC+Laves,200.0,1e-05,20.0,1,4,6.0,1300,As-cast
24,0.08911127363047189,0.21079199643780727,0.08708336756944905,0.002178580534717383,0.055313939828544156,0.0203680644380917,0.20173414511307244,0.13914309418910484,0.19427553825874122,BCC+laves+M5Si3,400.0,0.000167,100.0,0,3,2.0,1800,Annealed
25,0.017650331234807214,0.2120472245901116,0.09340681622463805,0.19803578443459183,0.18252085309687344,0.15100225843094456,0.04955316215112091,0.01332498720497779,0.08245858263193467,BCC+laves+M5Si3,300.0,0.001,15.0,0,4,192.0,1500,Annealed
26,0.16253316128422585,0.17661219475120396,0.003666750729448929,0.06075012070041103,0.11489959168764638,0.17706826359851838,0.029624747573977938,0.09560974909553063,0.17923542057903688,B2+Al3Zr5+Laves,900.0,0.00015,20.0,1,4,4.0,500,Annealed
27,0.028852003247948038,0.1545038442063893,0.09898607539121228,0.1672696728980218,0.10797609491957795,0.05378850645493244,0.05593198814578528,0.16013731383007887,0.17255450090605415,B2,1600.0,0.1,10.0,0,4,6.0,800,Annealed
28,0.017636505916827278,0.049648858554870785,0.028493800923101352,0.21546307054278416,0.01859587083377177,0.11813618091780653,0.18187029842203958,0.22526527438094948,0.14489013950784907,BCC,800.0,0.0002,4.2,1,4,10.0,1800,Annealed
29,0.03837369496099226,0.18708909365772972,0.09759962937640443,0.17490689330591194,0.12138494185697371,0.0432079048891177,0.12725801911407295,0.0015580440957432401,0.20862177874305401,BCC+MC,-103.0,1e-05,100.0,1,1,0.0,500,MA/SPS
30,0.057147270808788654,0.08082048029859587,0.105702654584239,0.19460185875225744,0.11127548757706,0.0387522260366427,0.15031700072486265,0.12119117160253388,0.14019184961501993,B2+Al3Zr5+Laves,1200.0,0.00056,15.0,0,3,168.0,700,MA/SPS
31,0.05947276554441501,0.006511384786042067,0.04161808521101708,0.3729073228560713,0.03979066859785269,0.0808359455127657,0.016866983251742698,0.3590998605716456,0.02289698366844776,3 BCC,-196.0,0.0003,15.0,1,4,168.0,25,Annealed
32,0.17442499246374937,0.022226553218092693,0.033427576070492175,0.17838478402242752,0.17303136612551623,0.12045282654487899,0.13370285739179083,0.06419019496103809,0.10015884920201391,2 BCC+laves,1600.0,0.1,20.0,1,4,0.167,1250,Annealed  
33,0.12830509509466334,0.130673930421406,0.04839341473255037,0.04057097753191438,0.1524574581180771,0.1404561974790153,0.15306069873225772,0.09594344469655415,0.11013878319356175,BCC+HCP,60.0,0.01,100.0,1,2,3.0,25,MA/SPS
34,0.09879190189100186,0.20747805556141,0.029362675348971468,0.09828079689323163,0.2077502571543697,0.026983778000040922,0.08168857426297271,0.06510365429308561,0.18456030659491604,2 BCC+HCP,200.0,0.0003,15.0,0,4,10.0,1400,MA/SPS
35,0.16730504421155082,0.014799558898616845,0.15611032410295017,0.06018043151735018,0.08124214868896457,0.1296555165954988,0.06132152961435934,0.2694262065578543,0.059959239812854864,BCC+M55i3,1000.0,0.0005,100.0,0,4,0.167,1200,As-cast
36,0.10480413399085795,0.016368121190810655,0.2136617426625616,0.20215830553410222,0.04077914363765553,0.06580153280111035,0.004194402404872809,0.22030550840684351,0.1319271093711854,BCC+MC,600.0,1e-05,100.0,1,1,96.0,500,Annealed
37,0.013766339671498424,0.12697511039783144,0.1595077071537504,0.1872547491393314,0.20033922342615754,0.07151148481032935,0.050662435919314644,0.12436000562499476,0.06562294385679213,BCC+M5Si3,1000.0,0.0003,15.0,0,1,0.167,1450,Annealed
38,0.04022189779985282,0.18166528122339884,0.21628183281584318,0.08152664516927129,0.16303238776268017,0.1004113605185576,0.16744275337351627,0.02458497391928194,0.024832867417597812,BCC+laves+M5Si3,60.0,1e-05,4.2,0,0,19.0,1400,As-cast
39,0.11560083792039767,0.09875906138383121,0.17108222303376772,0.07198124578667373,0.10521471111335508,0.08029227579024069,0.13177757723274278,0.020692857005824537,0.20459921073316664,BCC+B2,-268.8,1e-05,4.2,0,1,2.0,1300,As-cast
40,0.0855181440767074,0.16283504950139022,0.1347171545649233,0.14400421258748577,0.07401021194403964,0.036672801070381504,0.17787416010243537,0.16632052477021983,0.018047741382416986,BCC,-196.0,0.0005,20.0,1,0,4.0,1400,MA/SPS
41,0.22878908436398973,0.23820703968791745,0.03249322687826418,0.04311339214715763,0.018095584895845434,0.12442657813012212,0.02639925745251537,0.2785297448021242,0.009946091642063774,B2,1600.0,0.0001,20.0,0,0,1.0,1100,MA/SPS
42,0.028706689969845725,0.061108362257613395,0.15022298550912433,0.06701785713413613,0.08796778467883391,0.15554207025658368,0.1490974387740149,0.1396882381582318,0.1606485732616162,B2+Al3Zr5,-196.0,0.000167,100.0,0,3,20.0,1100,Annealed  
43,0.0669076046831612,0.17035744413833295,0.14109694517623844,0.024255464604379467,0.20563459855109445,0.12921786827324439,0.13954163443030074,0.09351836639137717,0.029470073751871176,BCC+Laves+M5Si3,700.0,0.00056,4.2,1,3,4.0,1100,Annealed
44,0.1278953288439175,0.16785271691540987,0.092961360757013,0.1418645553672627,0.07068515192637263,0.08251061039239987,0.21891179962356386,0.012522857219038015,0.08479561895502251,2 BCC+HCP,-43.0,0.1,4.2,0,4,10.0,1450,Annealed  
45,0.1401937515049143,0.188439402048567,0.1189810017941369,0.18015079452125551,0.1335176554061128,0.09523911853402649,0.06414473239739854,0.042270466771195475,0.03706307702239286,B2+Al3Zr5,100.0,0.0003,15.0,0,4,2.0,1050,As-cast
46,0.1197312241906658,0.07222461600057846,0.04486514128916306,0.02888977717867534,0.11319652133209915,0.15278414874757046,0.13906951297059902,0.14657477713706643,0.18266428115358224,BCC+MC,400.0,0.1,20.0,0,3,6.0,800,MA/SPS
47,0.05117606163937159,0.10758351221194543,0.1868152054966959,0.027364760212595155,0.2153257459607899,0.0021176111852602725,0.009345396009341566,0.1890001738286576,0.21127153345534255,BCC+Laves+M5Si3,72.0,0.0002,15.0,1,1,0.167,1050,MA/SPS
48,0.1251692507104117,0.07904026790329034,0.009835922277049743,0.04822284967033612,0.10052527764290643,0.14902448843844224,0.16231851272960132,0.16486187884392609,0.16100155178403608,B2+Al3Zr5+Laves,-43.0,0.0003,10.0,1,0,24.0,1000,As-cast
49,0.19651480037878444,0.14791970256553946,0.04979628363944093,0.1877240341693537,0.024655161162250968,0.025331096534464567,0.15005003361246394,0.1378904578354219,0.08011843010228016,BCC+HCP,-103.0,0.005,100.0,0,4,0.167,1450,Annealed  
50,0.07682348261106803,0.10872645179443352,0.1773472407079855,0.09825567348648637,0.11713301740491422,0.09179588541130417,0.036176706620997,0.15735542031207633,0.1363861216507347,BCC+HCP,25.0,0.000167,10.0,0,1,192.0,900,Annealed  
51,0.15282130689321097,0.0849274114328529,0.03774722017815371,0.15482865966250556,0.2028034875655413,0.03177834401114855,0.16880809370405658,0.15040959583889402,0.015875880713636412,2 BCC+HCP,1100.0,0.0003,4.2,1,0,168.0,800,MA/SPS
52,0.08812612580062885,0.09715756166928195,0.06143175473210366,0.10362654977066323,0.14144787951417503,0.1265027527181953,0.15646145359764235,0.06330442311209812,0.1619414990852113,BCC+M55i3,800.0,0.0002,15.0,1,2,19.0,997,Annealed
53,0.10208840696650368,0.13799501479179452,0.21093339690702295,0.0001782137262028212,0.12164683037594982,0.17562116884137788,0.05154669785726193,0.07577160155476334,0.12421866897912316,BCC+B2,900.0,1e-05,4.2,0,2,0.5,1450,Annealed  
54,0.08817937229214244,0.20921197865438745,0.009494183130489326,0.06954376409411533,0.06110685659217267,0.1704279749841656,0.08349700992324899,0.08805573419578347,0.2204831261334948,B2,1200.0,0.0005,4.2,0,2,24.0,1300,As-cast
55,0.12392357764032054,0.18176466096262853,0.16102661676882726,0.2068473361603896,0.04579520180661884,0.10710075191262068,0.04197288871055305,0.08140057446759123,0.050168391570450256,BCC+laves+M5Si3,100.0,1e-05,15.0,0,2,6.0,300,Annealed
56,0.1342972698747099,0.10655273932844503,0.1298794163205529,0.02096514771621591,0.08508365449129926,0.14359437391071045,0.054451784346313,0.16541325266569695,0.15976236134605662,BCC+M55i3,1600.0,0.01,10.0,0,2,6.0,700,Annealed  
57,0.16176835449710308,0.07923521469621514,0.055298670655047115,0.09364037104467678,0.1438407660487337,0.08261148776849872,0.12331622081837325,0.16309820415618478,0.09719071031516757,BCC+Laves+M5Si3,-268.8,1e-05,20.0,1,4,0.0,800,Annealed  
58,0.16049723927332066,0.06800064715663433,0.1545538321597654,0.18760357248201853,0.05527924837845855,0.13547513571525285,0.15593218327931033,0.0781731973077096,0.004484944247529787,BCC+M5Si3,-268.8,0.01,100.0,0,0,4.0,700,Annealed
59,0.15991292398345772,0.1438457973541557,0.08218600905180479,0.12700071285257045,0.12218140935598575,0.10751073865055175,0.025284438522695216,0.19668262110844126,0.0353953491203375,BCC+Laves+M5Si3,60.0,0.0005,4.2,1,0,168.0,1450,As-cast
60,0.14986830825818184,0.17532107100858982,0.08308259087326605,0.04945968985400352,0.16083358261209435,0.05060124758008178,0.14606953166886594,0.06060556366508776,0.12415841447982891,BCC,72.0,0.005,10.0,0,2,192.0,1000,Annealed
61,0.033492800012607085,0.02524729402754728,0.1174929445820983,0.06839281875274314,0.18710718813825855,0.12794060771592158,0.04537829156296824,0.19013241116104843,0.20481564404680747,2 BCC+HCP,-43.0,0.0001,10.0,0,0,0.0,300,MA/SPS
62,0.2115997363522129,0.21999078570876793,0.0536891386162983,0.012431205277598239,0.05503102110460842,0.13863989308185162,0.11979542432881693,0.11480641963930495,0.0740163758905407,BCC+M5Si3,900.0,0.000167,20.0,0,2,2.0,25,MA/SPS
63,0.05305212837260352,0.09879570042263429,0.21480819387064579,0.16344515753833563,0.03787564335184773,0.22998499844261053,0.1547518557623639,0.04545590266201419,0.0018304195769444404,BCC+laves+M5Si3,1300.0,0.0002,10.0,1,3,2.0,1250,As-cast
64,0.08955429380189582,0.1982934722644641,0.10150590456378555,0.07646244630345966,0.10280427201772986,0.04529287926942729,0.08771040166213362,0.20167229145141474,0.0967040386656893,B2+Al3Zr5+Laves,200.0,0.000167,10.0,0,0,168.0,1250,MA/SPS
65,0.11084205438377306,0.23338942007697427,0.024139319850187548,0.1020493820718746,0.08031724360977043,0.1935223894172699,0.193965721681706,0.04874003585688888,0.013034433051555336,2 BCC+HCP,900.0,0.01,15.0,1,2,5.0,25,Annealed
66,0.1123724825416717,0.21810527695296952,0.20689992053692152,0.024364383590748325,0.14695385061294655,0.04524828484302159,0.023997080159445447,0.03130201788144093,0.19075670288083452,B2+Al3Zr5+Laves,72.0,1e-05,10.0,1,1,0.167,1000,As-cast
67,0.18781774373008178,0.2016862083318747,0.10402791797458519,0.1578167944830347,0.05887862107345811,0.028708277542520175,0.07555921758121202,0.13286000525852515,0.05264521402470818,BCC,-43.0,0.0002,15.0,1,1,4.0,25,As-cast
68,0.1106016229500285,0.08916708418845268,0.07708629985980166,0.09502279682473572,0.11769310852761912,0.04886979413535555,0.18503727593314784,0.07574665736133471,0.20077536021952425,B2+Al3Zr5,200.0,0.1,10.0,1,1,1.0,1250,Annealed
69,0.153612815945846,0.025350110152578268,0.06046672698240783,0.0931695853575164,0.02772091130307956,0.13638007658081,0.19301120197287608,0.18160047632198534,0.12868809538290057,BCC,1600.0,0.000167,20.0,0,2,1.0,1450,Annealed  
70,0.09330977564808834,0.10357181330565428,0.009395258609098081,0.2873141566969169,0.1291653387886872,0.009806552462852895,0.03509962926488631,0.04494876318271432,0.2873887120411017,3 BCC,1200.0,0.005,20.0,1,2,19.0,1100,MA/SPS
71,0.003314916112798174,0.1880238156432613,0.019926320625082348,0.22664532628820963,0.08024222124239286,0.11507469744901279,0.18219762914417323,0.15596781942506602,0.02860725407000369,BCC+MC,72.0,0.01,4.2,0,2,5.0,1100,Annealed  
72,0.13777254754442175,0.14116684757383505,0.2294443906767226,0.08199874004587632,0.0013822472822337779,0.22097684589073324,0.0920002835629501,0.04160038227790884,0.05365771514531838,3 BCC,60.0,1e-05,10.0,0,4,19.0,1800,As-cast
73,0.1479869850642946,0.12963790973448128,0.04188644936055676,0.148615188810209,0.04383950781673217,0.1297212665609587,0.029244455527102295,0.08778821748257254,0.24128001964309256,BCC+Laves,-103.0,0.000167,15.0,1,4,192.0,700,As-cast
74,0.1199214080987408,0.05712251911207328,0.06802428929005534,0.07309525799829159,0.03320436493175581,0.1651909342095371,0.21651346087559412,0.20954587022555143,0.05738189525840039,BCC+unknown,25.0,0.0002,4.2,1,0,168.0,300,MA/SPS
75,0.1635509459378328,0.0024955705628090965,0.02700644175050928,0.19244393556043865,0.09494472656156842,0.27734689420391156,0.07453930591487287,0.004232430973805536,0.16343974853425186,B2+Al3Zr5+Laves,-196.0,0.0002,4.2,0,4,0.0,300,MA/SPS
76,0.10271789290356345,0.07688314175158113,0.13296357841432024,0.13180934513151188,0.058889578017632935,0.14527102913299,0.16030543572760836,0.036762046136232816,0.15439795278455906,B2+Al3Zr5,1600.0,0.001,100.0,0,1,0.0,800,Annealed  
77,0.24466577864849917,0.19087176309356005,0.015310292857802901,0.14799800907663224,0.020575321742637834,0.26600357991935913,0.06270851957916097,0.013930495107358396,0.03793623997498921,BCC,60.0,0.001,100.0,0,3,0.5,1500,MA/SPS
78,0.08745584901269664,0.07441120829826707,0.12939595449668484,0.027514585256621125,0.038321595858197846,0.1316105171169713,0.2014040786880782,0.16020579677314423,0.1496804144993389,2 BCC+HCP,25.0,0.00056,4.2,1,3,3.0,1500,Annealed  
79,0.016903521030324022,0.2480860785894406,0.23259486199658916,0.17489848349733897,0.042993769788580855,0.07995989324714396,0.028569359304853603,0.05434789304280516,0.12164613950292365,BCC,1300.0,0.00015,10.0,1,4,1.0,1200,Annealed
80,0.16147567914110267,0.10205892694732979,0.17083511845096658,0.06092904823319092,0.0999509213965205,0.17386623107082202,0.059459137696298785,0.01648063647043208,0.15494430059333655,BCC,-103.0,0.0003,4.2,0,0,1.0,300,As-cast
81,0.1251737863181699,0.017135767904799867,0.09936746205358053,0.07531549105554879,0.12139413397426041,0.19775110894487116,0.013512087993079184,0.16409539213431984,0.18625476962137047,2 BCC+laves,900.0,0.0005,15.0,0,0,3.0,1450,MA/SPS
82,0.09462916486180566,0.13794516310424376,0.07107192300714926,0.1464933663587904,0.001192413597698613,0.19223920176670362,0.04399447969530671,0.17868566579467368,0.13374862181362837,BCC+Laves+M5Si3,72.0,0.0002,10.0,0,4,2.0,1250,Annealed
83,0.07639930072124776,0.24457399946657338,0.19109052833717943,0.011632356676021608,0.06650814170113661,0.03866932292433009,0.10445615833051027,0.10136964801504178,0.16530054382795906,BCC+unknown,700.0,0.0002,100.0,1,4,192.0,800,As-cast
84,0.0717136484238813,0.04932276636117075,0.21953042644106588,0.01904086490725478,0.2241770822264801,0.20401120337001707,0.19031762771270969,0.005659620027745637,0.016226760529674745,B2,1000.0,0.01,20.0,0,4,24.0,1800,MA/SPS
85,0.006706898214947161,0.14818567352525225,0.037779916109103834,0.1625881209819924,0.14439830431083792,0.14053509523853835,0.16104858576696798,0.05949068928484727,0.1392667165675129,BCC,600.0,0.0003,20.0,0,3,0.0,700,As-cast
86,0.015856423776450756,0.12203694268293251,0.02768318293750816,0.10775236653873306,0.2225784266821569,0.06429365085410656,0.08528022167644575,0.14562110543986911,0.20889767941179732,BCC+unknown,1200.0,0.0002,10.0,0,1,168.0,900,MA/SPS
87,0.16070681923446303,0.15439118803819732,0.12422231295504135,0.008499254008042202,0.09533458161259978,0.12636256016112696,0.08622303457526462,0.105527295662607,0.13873295375265796,BCC+Laves+M5Si3,-153.0,1e-05,100.0,1,4,10.0,1800,Annealed  
88,0.15527811894062432,0.16505588988812028,0.1612137433569388,0.08870235443939416,0.1092017711917149,0.05760820079648122,0.11419524306613131,0.102255058763068,0.04648961955752696,BCC+Laves+M5Si3,-153.0,1e-05,4.2,1,4,168.0,1500,Annealed
89,0.08418304420670794,0.03755931341834594,0.17819671803996248,0.1807613095143135,0.18778740368585875,0.015970186523973404,0.1605815485109153,0.1361885112982582,0.018771964801664497,BCC+Laves+M5Si3,60.0,0.001,15.0,0,0,4.0,1300,MA/SPS
90,0.13470116196855708,0.007771224825473222,0.173313664446498,0.07737942899939436,0.16743636252053956,0.12066810822240838,0.17418279125962263,0.06308272466518927,0.08146453309231737,BCC+Laves+M5Si3,600.0,0.001,4.2,0,1,168.0,900,Annealed
91,0.1357860974797536,0.12549860786156194,0.11540983428890861,0.0015467704180284578,0.18421341857967963,0.1370642594983101,0.16745657946232173,0.10417718635079384,0.028847246060642064,BCC+HCP,-103.0,0.001,10.0,0,0,0.5,1200,Annealed
92,0.10017616560047826,0.17220440899316208,0.11646578524979118,0.05672682608641238,0.03967576161715221,0.16506412753375396,0.06893546636452057,0.17108411126477185,0.10966734728995743,2 BCC,1600.0,1e-05,15.0,1,3,0.0,900,MA/SPS
93,0.19087274794518808,0.08512677334521063,0.11731950264011827,0.1347084962552904,0.20961437476837652,0.02735968821085166,0.061703911750472996,0.01926327727589869,0.1540312278085927,BCC+B2,1100.0,0.005,100.0,0,2,24.0,900,Annealed  
94,0.2306122321459397,0.03486024600544614,0.10977608906533308,0.14424092001742267,0.021516436051503947,0.0957949375366544,0.04741299999921822,0.2273562329621905,0.08842990621629135,B2,1600.0,0.1,15.0,1,2,10.0,25,As-cast
95,0.019012091412650978,0.21759906632498016,0.051777251657808276,0.21729275754997257,0.16933412115914642,0.09129023088975138,0.04629832781423854,0.0753499662655546,0.11204618692589718,2 BCC+Laves,-153.0,0.0002,15.0,1,3,0.5,1000,Annealed
96,0.23919251608645054,0.1333380584037014,0.2222611433768827,0.08493655409454558,0.01565569321585662,0.0912462181887623,0.16892455850369742,0.0121710731350908,0.03227418499501261,B2+Al3Zr5,200.0,0.000167,100.0,1,0,1.0,300,Annealed
97,0.028775192879042476,0.09147832217485297,0.20880437229176224,0.015018687268640885,0.1732522014796335,0.004980126492766795,0.0656956763547356,0.3095400722214867,0.10245534883707891,2 BCC+laves,-43.0,0.00015,100.0,1,2,3.0,997,MA/SPS
98,0.13848806178046158,0.11772454102427127,0.21640883919155418,0.10351549769517655,0.05802187216707316,0.17674137708336465,0.023169289088855776,0.07705992672948976,0.08887059523975313,BCC+Laves,1200.0,0.0001,4.2,0,1,2.0,1100,Annealed
99,0.0612965814334892,0.15676786285963087,0.09391909624987418,0.08064554813409797,0.12833839359793886,0.15318280516468097,0.06714119757703176,0.2172685118711047,0.041440003112151576,3 BCC,1400.0,0.0003,15.0,1,3,4.0,700,Annealed  
100,0.1746154729721179,0.05755775232397044,0.07315610930918974,0.15072254148448325,0.08894813995422157,0.14575979643591763,0.08199357809541942,0.12555770269102093,0.10168890673365907,BCC+M55i3,-196.0,0.000167,100.0,1,2,10.0,1100,Annealed  
101,0.0731294671907564,0.05315992128845296,0.15928775202276835,0.111895205983122,0.08587885298088083,0.21206473291015945,0.022996813426464927,0.06114938202298755,0.22043787217440758,2 BCC,600.0,0.000167,4.2,1,4,0.5,500,MA/SPS
102,0.09961347624199302,0.09865757816804427,0.16361348199628128,0.09741244764716814,0.1188373716781548,0.03346561713403166,0.20713728971451906,0.1439018448773876,0.03736089254242032,BCC+Laves,1100.0,0.000167,100.0,0,4,20.0,997,Annealed
103,0.035931995416122194,0.18092837732889527,0.21025355157967363,0.18257964392105142,0.06644941958298434,0.033038415592965005,0.11426935543476498,0.16639584946744565,0.010153391676097617,B2+Al3Zr5,-43.0,0.01,100.0,1,2,2.0,800,Annealed  
104,0.1113794569254084,0.03161420364137953,0.056978134036980696,0.18711671982961692,0.28494856587493267,0.011928303477103825,0.1447673008604288,0.05997617496405859,0.1112911403900905,2 BCC+Laves,25.0,0.000167,100.0,1,0,10.0,1250,As-cast
105,0.0783989302170374,0.1561189095147582,0.09321333344676466,0.14477864470775675,0.07653211463051371,0.23370478954143625,0.03376906155781878,0.15898790745492797,0.024496308928986202,2 BCC+HCP,-153.0,0.005,20.0,0,1,24.0,300,Annealed
106,0.14852518989862612,0.07656387108154614,0.11155822393056264,0.1396579988177553,0.08521296900198064,0.06321087679008357,0.1155419914366825,0.12429936676271827,0.13542951228004468,2 BCC+HCP,-153.0,0.0005,100.0,1,3,4.0,700,Annealed
107,0.09364178842331107,0.0828969745998642,0.1878593697845496,0.055533024891012035,0.1460347966475244,0.09017735562502303,0.06961779095514593,0.19217429928856014,0.08206459978500981,BCC+B2,400.0,0.0002,4.2,0,3,1.0,300,MA/SPS
108,0.04744610197914648,0.13881880252251155,0.15684308692286708,0.17311707535019177,0.03379827757476767,0.08719491325657198,0.034889055366433684,0.19855787966548577,0.12933480736202402,BCC+Laves+M5Si3,-196.0,0.000167,100.0,0,4,0.167,1050,Annealed  
109,0.05569038741544468,0.07365937684592574,0.1166371176480834,0.1782089814262473,0.13800534112984467,0.130388489881091,0.008410667337112388,0.1254377441043529,0.17356189421189788,B2,-196.0,0.0005,10.0,1,4,96.0,800,As-cast
110,0.11167804260641302,0.12470255512056816,0.021033302662244888,0.15794650426869097,0.14849369186866573,0.1281605369499593,0.18039447406375247,0.11675841408719823,0.010832478372507306,BCC+M55i3,-43.0,0.000167,10.0,1,2,5.0,900,As-cast
111,0.19884447887368745,0.19241549503400066,0.03113604506585928,0.10902106518431265,0.2094963634548013,0.05643624685929462,0.13921403583068692,0.015475960860170312,0.047960308837186785,BCC+B2,1100.0,0.01,10.0,1,1,0.5,1500,As-cast
112,0.028149666512048897,0.03349712606324661,0.032842001052547865,0.0035944232352693377,0.13868677109172492,0.18853196736458536,0.14019673244021996,0.19793804419619587,0.2365632680441613,2 BCC+Laves,1200.0,0.01,15.0,0,2,192.0,1050,Annealed
